Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.5,0.7,0.9999,41,0.46624130606651304,0.8290613651206943,83.54,24,100,54410,9.737117290496826,9.724808692932129,0.012308597564697266,0.011657238006591797,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,42,0.47250402417182924,0.8286860662363672,83.29,30,100,54410,10.184346675872803,10.170505285263062,0.013841390609741211,0.01316690444946289,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,43,0.3902815045118332,0.8612603208320054,86.28,22,100,54410,10.482988595962524,10.473328828811646,0.009659767150878906,0.009053707122802734,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,44,0.40833371946811675,0.8501923767210167,85.37,29,100,54410,14.471687078475952,14.459993362426758,0.011693716049194336,0.011104106903076172,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,45,0.4985246562600136,0.813639539893504,82.83,27,100,54410,13.111874103546143,13.098928928375244,0.012945175170898438,0.012270212173461914,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,46,0.47714984169006347,0.8200657394302325,83.73,21,100,54410,9.472615003585815,9.464198589324951,0.008416414260864258,0.007910728454589844,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,47,0.43092016253471377,0.8448746546134449,85.59,28,100,54410,13.360927820205688,13.34948182106018,0.011445999145507812,0.010824203491210938,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,48,0.4115512673854828,0.8490101151286524,85.62,29,100,54410,12.1605966091156,12.148744821548462,0.011851787567138672,0.011253118515014648,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,49,0.3567251181125641,0.8741333541701317,87.65,26,100,54410,11.107177972793579,11.095905303955078,0.011272668838500977,0.010669708251953125,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,50,0.3815061694860458,0.8648432318341858,86.65,30,100,54410,14.40750241279602,14.394636392593384,0.012866020202636719,0.012247562408447266,122.9814453125,0
FedHST,FashionMNIST,0.5,0.7,0.9999,1,2.2734463054656984,0.2388543330990225,35.46,22,100,54410,11.130444288253784,11.121007919311523,0.009436368942260742,0.008931398391723633,121.0849609375,1
FedHST,FashionMNIST,0.5,0.7,0.9999,2,1.566844030380249,0.4043399434888631,47.36,21,100,54410,8.24590253829956,8.236421585083008,0.009480953216552734,0.008923768997192383,121.09765625,1
FedHST,FashionMNIST,0.5,0.7,0.9999,3,1.1863815685272217,0.5235269164294736,59.51,24,100,54410,11.194655895233154,11.181836128234863,0.012819766998291016,0.012167215347290039,121.72412109375,1
FedHST,FashionMNIST,0.5,0.7,0.9999,4,1.1327356256484986,0.6132327294199136,65.75,27,100,54410,10.942694664001465,10.930216789245605,0.012477874755859375,0.011852025985717773,122.3525390625,1
FedHST,FashionMNIST,0.5,0.7,0.9999,5,0.9382406196594238,0.6275492253847652,68.44,30,100,54410,13.093610048294067,13.081407308578491,0.012202739715576172,0.011672019958496094,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,6,0.6877928526878357,0.7126080256528485,73.68,23,100,54410,11.40849494934082,11.398494243621826,0.01000070571899414,0.009355783462524414,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,7,0.7717546831130981,0.6545480331852642,70.51,24,100,54410,11.222232103347778,11.211644172668457,0.010587930679321289,0.009995698928833008,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,8,0.9130411036491394,0.6288707487136811,67.2,25,100,54410,12.514209508895874,12.504220008850098,0.009989500045776367,0.009477376937866211,122.98095703125,1
FedHST,FashionMNIST,0.5,0.7,0.9999,9,0.6954264170646668,0.7352890503329556,74.49,30,100,54410,13.225940227508545,13.21211290359497,0.013827323913574219,0.013151884078979492,122.98095703125,1
