Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Alpha_Config
FedHST,FashionMNIST,0.5,0.9,0.999,31,0.34562658226490023,0.8786879469317675,88.08,25,100,54410,3.72607159614563,3.714810609817505,0.011260986328125,0.010654211044311523,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,32,0.3478790405988693,0.8764667687399287,87.85,25,100,54410,3.6842567920684814,3.6737382411956787,0.010518550872802734,0.009936809539794922,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,33,0.3548713267445564,0.873109398276901,87.49,27,100,54410,4.197951555252075,4.185976505279541,0.01197504997253418,0.011352062225341797,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,34,0.35654742538928985,0.8715718651748968,87.29,29,100,54410,4.2754247188568115,4.262796640396118,0.01262807846069336,0.012033224105834961,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,35,0.34950157347917554,0.8751966119792616,87.58,27,100,54410,3.9967997074127197,3.9853391647338867,0.011460542678833008,0.0108642578125,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,36,0.33771168384552,0.880429020329687,88.07,26,100,54410,3.8493125438690186,3.837495803833008,0.011816740036010742,0.011201620101928711,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,37,0.3293297661662102,0.8839923218112025,88.43,22,100,54410,3.299463987350464,3.2896151542663574,0.009848833084106445,0.009308338165283203,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,38,0.3257986123919487,0.8849276049426672,88.56,25,100,54410,3.9625518321990967,3.952117919921875,0.01043391227722168,0.009836673736572266,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,39,0.32523245635032655,0.8852035323233831,88.64,27,100,54410,4.340415000915527,4.328181743621826,0.012233257293701172,0.011527776718139648,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,40,0.32434218757152555,0.8856539528942344,88.74,27,100,54410,4.037410736083984,4.025448322296143,0.011962413787841797,0.01134181022644043,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,41,0.32175194826126097,0.885899496127216,88.79,26,100,54410,3.9494802951812744,3.938565731048584,0.01091456413269043,0.010343790054321289,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,42,0.3189192248225212,0.8861930990664337,88.82,28,100,54410,4.628827810287476,4.616281509399414,0.012546300888061523,0.01189422607421875,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,43,0.3156474054932594,0.8876277935558328,88.92,26,100,54410,4.474998950958252,4.463222026824951,0.011776924133300781,0.011155128479003906,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,44,0.31349213598966597,0.8888509219337074,88.99,29,100,54410,5.042704105377197,5.029851675033569,0.01285243034362793,0.012221336364746094,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,45,0.3123734755396843,0.8902522562059481,89.11,26,100,54410,4.557546138763428,4.545863628387451,0.011682510375976562,0.011070013046264648,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,46,0.311511350607872,0.890738631416203,89.15,30,100,54410,5.264475107192993,5.250668048858643,0.013807058334350586,0.013170003890991211,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,47,0.31031438114643095,0.8901322228179149,89.1,27,100,54410,4.690461158752441,4.677225351333618,0.013235807418823242,0.012477397918701172,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,48,0.30916676082611083,0.8900015053041385,89.1,27,100,54410,4.567150354385376,4.554595232009888,0.012555122375488281,0.01190948486328125,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,49,0.3077882176399231,0.8910514014066916,89.21,25,100,54410,4.21015477180481,4.1989850997924805,0.011169672012329102,0.010470867156982422,122.98095703125,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,50,0.30634368451833727,0.8907924123742973,89.19,30,100,54410,5.056360483169556,5.043771266937256,0.012589216232299805,0.01200723648071289,122.98095703125,100.0
FedAdam,FashionMNIST,,0.9,0.999,1,0.9251340383529663,0.6719229169420171,67.95,30,100,54410,4.444025039672852,4.435118913650513,0.008906126022338867,,122.7568359375,1.0
FedAdam,FashionMNIST,,0.9,0.999,2,0.7086198215484619,0.7431724504213373,74.18,26,100,54410,3.7599074840545654,3.7519259452819824,0.007981538772583008,,122.7568359375,1.0
FedAdam,FashionMNIST,,0.9,0.999,3,0.6217688730239869,0.7761025814333571,77.14,30,100,54410,4.643132448196411,4.63529372215271,0.007838726043701172,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,4,0.5919819395065308,0.7873566122241351,78.61,23,100,54410,3.596156120300293,3.589216709136963,0.006939411163330078,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,5,0.6947789934158325,0.7511002940079138,75.47,26,100,54410,4.232985973358154,4.224772930145264,0.008213043212890625,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,6,0.6081376509666443,0.7836425807635806,78.73,24,100,54410,3.3687586784362793,3.362114906311035,0.006643772125244141,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,7,0.47140057039260863,0.8341197969945415,83.56,28,100,54410,4.337085008621216,4.328593969345093,0.008491039276123047,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,8,0.47066637308597564,0.8378384424756007,83.81,24,100,54410,3.7403717041015625,3.7337982654571533,0.00657343864440918,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,9,0.47546703279018404,0.8353995119779205,83.97,25,100,54410,3.6309738159179688,3.6241238117218018,0.006850004196166992,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,10,0.521325447845459,0.8193803652680789,83.17,20,100,54410,3.0664923191070557,3.0598068237304688,0.006685495376586914,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,11,0.5168866806983948,0.8161948158431611,82.8,20,100,54410,3.0871453285217285,3.0807487964630127,0.00639653205871582,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,12,0.4351690831184387,0.8408236330083143,84.58,30,100,54410,4.311023235321045,4.302833795547485,0.00818943977355957,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,13,0.39592709045410157,0.8600726446744413,85.99,29,100,54410,4.530332803726196,4.521958827972412,0.00837397575378418,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,14,0.41644442760944367,0.8493987829312287,84.7,22,100,54410,3.2410271167755127,3.2347867488861084,0.006240367889404297,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,15,0.4056165615081787,0.8566760419563126,85.67,28,100,54410,4.25667929649353,4.248072624206543,0.008606672286987305,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,16,0.3867319693088532,0.8581804772370095,86.26,28,100,54410,4.810558080673218,4.802265644073486,0.008292436599731445,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,17,0.3968797572612762,0.8549765373700566,86.06,26,100,54410,4.349725008010864,4.342000961303711,0.00772404670715332,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,18,0.39884008009433747,0.8546776643338234,85.72,21,100,54410,3.437756299972534,3.431915521621704,0.005840778350830078,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,19,0.38152728967666627,0.8661092168603503,86.56,28,100,54410,4.178542137145996,4.170875787734985,0.007666349411010742,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,20,0.369780671787262,0.8719433670286885,87.09,28,100,54410,4.835259675979614,4.826568126678467,0.008691549301147461,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,21,0.37061612637043,0.8697253444031745,87.12,24,100,54410,3.6462085247039795,3.6392245292663574,0.00698399543762207,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,22,0.36886931064128875,0.8691389665714547,87.24,26,100,54410,4.458180904388428,4.451171398162842,0.0070095062255859375,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,23,0.3694570193052292,0.8681591880887994,87.1,28,100,54410,5.092804908752441,5.084680080413818,0.008124828338623047,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,24,0.3714716907978058,0.8654932639108978,86.79,23,100,54410,4.122540712356567,4.115732669830322,0.006808042526245117,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,25,0.3560906211256981,0.8712266235780473,87.29,29,100,54410,4.495454788208008,4.486836910247803,0.008617877960205078,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,26,0.3498502317905426,0.876967895158726,87.83,26,100,54410,3.8958802223205566,3.8882148265838623,0.007665395736694336,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,27,0.35391840183734896,0.8748344647150521,87.6,27,100,54410,3.9166526794433594,3.9088478088378906,0.00780487060546875,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,28,0.3427507381916046,0.8775473134998384,87.82,30,100,54410,4.829318523406982,4.820722341537476,0.008596181869506836,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,29,0.3448252998948097,0.8765481055968227,87.75,25,100,54410,4.096402883529663,4.088467121124268,0.007935762405395508,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,30,0.35193946878910065,0.8727900977964487,87.48,28,100,54410,4.776132345199585,4.767848014831543,0.008284330368041992,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,31,0.3406765130758286,0.8793628459885052,88.1,25,100,54410,4.536937475204468,4.529474258422852,0.007463216781616211,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,32,0.32856118938922885,0.8821014733071598,88.39,25,100,54410,4.127829313278198,4.12043309211731,0.007396221160888672,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,33,0.33258506288528444,0.8795025633763063,88.08,27,100,54410,4.283780097961426,4.276245355606079,0.00753474235534668,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,34,0.3332013367414475,0.8802697169631142,88.21,29,100,54410,4.839774131774902,4.830835580825806,0.00893855094909668,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,35,0.3245489876151085,0.8817741419578284,88.39,27,100,54410,4.754002571105957,4.746136903762817,0.007865667343139648,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,36,0.3251723574280739,0.884739497143514,88.62,26,100,54410,4.346578598022461,4.338243246078491,0.008335351943969727,,122.966796875,1.0
FedAdam,FashionMNIST,,0.9,0.999,37,0.3303089378237724,0.8816531259003432,88.25,22,100,54410,3.399786949157715,3.393880605697632,0.005906343460083008,,122.966796875,1.0
