Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Num_Clients_Config
FedHST,FashionMNIST,0.5,0.9,0.999,23,0.7939851641178131,0.7419633746338262,75.36,4,20,54410,2.7488744258880615,2.74570894241333,0.0031654834747314453,0.0025742053985595703,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,24,0.9109231333255767,0.7126565105937841,73.7,4,20,54410,3.1744637489318848,3.171370029449463,0.003093719482421875,0.002514362335205078,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,25,0.7920026535034179,0.7431864859716214,75.85,5,20,54410,3.755378246307373,3.751709461212158,0.0036687850952148438,0.003056764602661133,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,26,1.0101239701271056,0.6838921505537979,69.97,5,20,54410,4.025747537612915,4.022420883178711,0.0033266544342041016,0.002774953842163086,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,27,0.9373873729705811,0.7097863179227721,71.8,4,20,54410,1.6658799648284912,1.6627318859100342,0.0031480789184570312,0.002572298049926758,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,28,0.8771093328475952,0.7249841110733772,72.82,6,20,54410,3.1821229457855225,3.177903890609741,0.00421905517578125,0.003587961196899414,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,29,0.7565673372268676,0.7595798406208792,76.33,5,20,54410,2.903837203979492,2.900175094604492,0.003662109375,0.0030660629272460938,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,30,0.735910560798645,0.7734223514141704,77.95,4,20,54410,2.81339693069458,2.8097424507141113,0.00365447998046875,0.003064393997192383,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,31,0.647401711845398,0.7978241965948607,80.18,6,20,54410,4.6307971477508545,4.627095937728882,0.0037012100219726562,0.003136873245239258,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,32,0.630823775100708,0.7996948598462822,80.44,4,20,54410,2.059055805206299,2.0557892322540283,0.003266572952270508,0.002658367156982422,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,33,0.6673675187587738,0.783756196703009,79.22,6,20,54410,3.2737443447113037,3.2701609134674072,0.0035834312438964844,0.002991199493408203,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,34,0.7075260030269623,0.7732185006738911,78.78,4,20,54410,1.6004290580749512,1.5973317623138428,0.0030972957611083984,0.0025320053100585938,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,35,0.6263690701007844,0.7954353505081487,80.63,5,20,54410,3.6199004650115967,3.616288661956787,0.0036118030548095703,0.0029816627502441406,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,36,0.5354454661846161,0.8248888057276519,83.09,4,20,54410,3.447740077972412,3.4446699619293213,0.0030701160430908203,0.002568483352661133,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,37,0.6684014481544495,0.7665743881077444,78.91,4,20,54410,2.238802194595337,2.235956907272339,0.002845287322998047,0.002359151840209961,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,38,0.8386361360549927,0.7109347867188628,74.43,5,20,54410,3.831681251525879,3.828162670135498,0.0035185813903808594,0.0029778480529785156,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,39,1.0802175508499146,0.644737661465663,69.39,4,20,54410,3.010453701019287,3.0071966648101807,0.0032570362091064453,0.0026314258575439453,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,40,1.1830580490112306,0.6259795470535112,68.06,4,20,54410,2.7217700481414795,2.7183382511138916,0.0034317970275878906,0.0027539730072021484,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,41,1.4192629333496094,0.6087875861186719,66.82,4,20,54410,2.5512003898620605,2.5479347705841064,0.0032656192779541016,0.0026502609252929688,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,42,1.2960675116539002,0.6035044418946603,65.88,4,20,54410,1.9062275886535645,1.902895450592041,0.0033321380615234375,0.0026836395263671875,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,43,0.8946610191345215,0.6957855366873702,72.35,4,20,54410,3.2129790782928467,3.2098445892333984,0.003134489059448242,0.002543210983276367,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,44,0.7450313624382019,0.7365205440769387,75.77,5,20,54410,4.4434802532196045,4.4398722648620605,0.0036079883575439453,0.0029685497283935547,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,45,0.7180901759624482,0.7539489340520175,76.92,5,20,54410,3.672914505004883,3.6696603298187256,0.0032541751861572266,0.0027463436126708984,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,46,0.8426400812149047,0.7315353353029386,74.32,4,20,54410,3.3870632648468018,3.384104013442993,0.0029592514038085938,0.002379179000854492,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,47,1.0503423334121704,0.7029656796875818,71.85,6,20,54410,6.082741975784302,6.0785298347473145,0.004212141036987305,0.0035996437072753906,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,48,1.0885064010620118,0.7135941207634664,73.23,6,20,54410,3.0786380767822266,3.0743730068206787,0.0042650699615478516,0.003619670867919922,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,49,1.1489693769454956,0.701504688841934,72.3,4,20,54410,2.3196754455566406,2.3167507648468018,0.002924680709838867,0.002342700958251953,84.517578125,20
FedHST,FashionMNIST,0.5,0.9,0.999,50,1.1044284566879272,0.7021285942025839,72.57,5,20,54410,2.6043386459350586,2.6009202003479004,0.003418445587158203,0.002847909927368164,84.517578125,20
FedAdam,FashionMNIST,,0.9,0.999,1,3.841627336883545,0.17306885849571113,29.8,15,50,54410,3.7752561569213867,3.77120041847229,0.00405573844909668,,98.7236328125,50
FedAdam,FashionMNIST,,0.9,0.999,2,1.7710007028579713,0.20816934756241232,33.55,11,50,54410,3.102813482284546,3.0987329483032227,0.004080533981323242,,98.7236328125,50
FedAdam,FashionMNIST,,0.9,0.999,3,1.8028756328582765,0.26955969406939456,30.7,14,50,54410,3.4798827171325684,3.475822925567627,0.004059791564941406,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,4,1.3336338941574097,0.43638405141898484,47.46,12,50,54410,3.2720954418182373,3.267751932144165,0.004343509674072266,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,5,1.5804157984733582,0.5224352517730001,55.47,14,50,54410,4.659573078155518,4.654668569564819,0.004904508590698242,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,6,0.8542767307281495,0.7146366815207539,72.27,11,50,54410,3.769606828689575,3.765962839126587,0.0036439895629882812,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,7,0.6620578854560852,0.778672107283635,78.05,14,50,54410,3.5407865047454834,3.535825252532959,0.004961252212524414,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,8,0.8350918796539306,0.7350418136986364,76.04,13,50,54410,3.1903574466705322,3.185746431350708,0.004611015319824219,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,9,0.9292601902961731,0.7241081582144631,75.35,11,50,54410,3.068073034286499,3.0641069412231445,0.003966093063354492,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,10,0.6552601593017578,0.7792145646332218,79.54,11,50,54410,3.2969861030578613,3.29329252243042,0.0036935806274414062,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,11,0.626769039773941,0.782226978644925,78.74,13,50,54410,2.5455751419067383,2.5409204959869385,0.004654645919799805,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,12,0.6074038498878479,0.7869914297108004,78.94,13,50,54410,3.5359859466552734,3.5313518047332764,0.00463414192199707,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,13,0.5821331993103027,0.7857698592398126,78.58,11,50,54410,3.403580904006958,3.399237632751465,0.004343271255493164,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,14,0.4756359037637711,0.8331608917462476,83.54,12,50,54410,3.6699187755584717,3.6661627292633057,0.0037560462951660156,,98.724609375,50
FedAdam,FashionMNIST,,0.9,0.999,15,0.5630370572566986,0.7925323720692005,81.32,15,50,54410,4.321278810501099,4.316161394119263,0.0051174163818359375,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,16,0.5073514039754867,0.8134516209093905,82.21,13,50,54410,3.387394905090332,3.383498430252075,0.003896474838256836,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,17,0.43267278401851655,0.8477479617283004,84.91,15,50,54410,3.580152988433838,3.5752742290496826,0.0048787593841552734,,98.93359375,50
