Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedHST,FashionMNIST,0.5,0.9,0.999,15,1.4653832250595094,0.5718450807648534,61.55,8,100,54410,1.3032758235931396,1.2983453273773193,0.0049304962158203125,0.00431513786315918,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,16,1.5742481170654297,0.5659116122151568,62.48,9,100,54410,0.9525392055511475,0.9472370147705078,0.0053021907806396484,0.004676342010498047,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,17,1.5850946632385254,0.5665749579188893,62.36,9,100,54410,1.6072497367858887,1.6019117832183838,0.005337953567504883,0.004711151123046875,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,18,1.479465386581421,0.5812017221222714,63.62,8,100,54410,1.045353889465332,1.0403218269348145,0.005032062530517578,0.0044171810150146484,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,19,1.1354027465820313,0.6355767685669035,68.41,5,100,54410,0.8893568515777588,0.8856282234191895,0.003728628158569336,0.0031278133392333984,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,20,0.8526639304161072,0.7053863354541184,70.96,7,100,54410,1.1998417377471924,1.195265769958496,0.004575967788696289,0.0038967132568359375,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,21,0.7961509031295776,0.7168000652102855,71.72,8,100,54410,1.5178275108337402,1.512925148010254,0.004902362823486328,0.004273891448974609,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,22,0.8516106240272522,0.7120498096557359,71.14,7,100,54410,1.283073902130127,1.2785236835479736,0.00455021858215332,0.003929853439331055,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,23,0.8161164001464843,0.7464087309370561,74.08,6,100,54410,0.9918239116668701,0.9876060485839844,0.004217863082885742,0.0035674571990966797,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,24,0.8081962964534759,0.7525428240162664,75.3,8,100,54410,1.4957077503204346,1.4908511638641357,0.004856586456298828,0.004243612289428711,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,25,0.709495163822174,0.7662738679644582,77.2,5,100,54410,0.39788341522216797,0.3941776752471924,0.003705739974975586,0.003080606460571289,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,26,0.6540740863800049,0.7741767441091627,78.04,6,100,54410,0.9920229911804199,0.9880287647247314,0.0039942264556884766,0.003392457962036133,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,27,0.6747609597206116,0.7618577566900766,76.59,9,100,54410,1.3502967357635498,1.3451390266418457,0.0051577091217041016,0.004536867141723633,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,28,0.7249955064296723,0.7467928285709886,74.91,7,100,54410,0.9885756969451904,0.9842865467071533,0.004289150238037109,0.0036971569061279297,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,29,0.7611450005531311,0.7420634400021909,74.46,5,100,54410,0.5064961910247803,0.5026834011077881,0.0038127899169921875,0.003152132034301758,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,30,0.7605500879764557,0.741306122602851,74.33,9,100,54410,1.5450201034545898,1.5397403240203857,0.0052797794342041016,0.004668235778808594,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,31,0.7067805307865143,0.7612842862077307,76.63,6,100,54410,0.9395928382873535,0.9351696968078613,0.0044231414794921875,0.0038390159606933594,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,32,0.6514671923160553,0.7735505277324843,77.66,7,100,54410,1.013951301574707,1.0093464851379395,0.004604816436767578,0.003952980041503906,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,33,0.6389902647972107,0.7766244520164495,77.59,9,100,54410,1.3814365863800049,1.3764338493347168,0.005002737045288086,0.004464626312255859,118.79248046875,0.05-0.10
