Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.7,0.999,47,0.360810355424881,0.8709767844553877,87.26,27,100,54410,3.4446215629577637,3.4329659938812256,0.011655569076538086,0.011062860488891602,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,48,0.3950759912967682,0.8586045089626287,86.11,27,100,54410,4.804911136627197,4.792845726013184,0.012065410614013672,0.01144552230834961,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,49,0.4185184777975082,0.8431514779792602,84.68,25,100,54410,3.5149121284484863,3.5042102336883545,0.010701894760131836,0.010043859481811523,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.7,0.999,50,0.37531456489562987,0.8621209174865957,86.24,30,100,54410,4.082915306091309,4.07092809677124,0.01198720932006836,0.01142120361328125,122.98095703125,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,1,2.0543050369262694,0.17766728775076923,25.55,30,100,54410,4.914796829223633,4.90266227722168,0.012134552001953125,0.011638879776000977,122.7568359375,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,2,1.6179615463256836,0.29421511668575795,40.48,26,100,54410,3.6938254833221436,3.6829001903533936,0.01092529296875,0.010359764099121094,122.7568359375,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,3,1.2886125064849854,0.4411332889986964,51.78,30,100,54410,4.309414386749268,4.297254323959351,0.012160062789916992,0.011574745178222656,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,4,1.0889477898597717,0.4884072632674723,54.93,23,100,54410,2.7137467861175537,2.7041056156158447,0.009641170501708984,0.00912165641784668,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,5,0.894386956691742,0.6617474237343839,68.89,26,100,54410,3.33648681640625,3.325518846511841,0.01096796989440918,0.010417938232421875,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,6,0.7609183052062988,0.7317264909606905,74.21,24,100,54410,4.332457542419434,4.321835994720459,0.01062154769897461,0.010049581527709961,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,7,0.8002981030464172,0.6957793918050792,71.21,28,100,54410,4.0906360149383545,4.079298734664917,0.0113372802734375,0.010809898376464844,122.98046875,beta1
