Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Local_Epochs_Config
FedAdam,FashionMNIST,,0.9,0.999,14,0.5482960443019866,0.8048135021436484,80.88,22,100,54410,10.181755781173706,10.175020694732666,0.006735086441040039,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,15,0.48948870170116426,0.8196213625474333,82.29,28,100,54410,11.621808528900146,11.613775968551636,0.008032560348510742,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,16,0.4574481988668442,0.8340042343273326,83.99,28,100,54410,13.39136004447937,13.38395643234253,0.00740361213684082,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,17,0.4760744524002075,0.8259079678846264,83.42,26,100,54410,12.403515815734863,12.39574933052063,0.0077664852142333984,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,18,0.5055818007946015,0.8145933980684565,81.62,21,100,54410,8.851596355438232,8.845890760421753,0.005705595016479492,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,19,0.5086989805698395,0.811791940688156,80.95,28,100,54410,13.578765153884888,13.57203722000122,0.006727933883666992,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,20,0.49831313099861146,0.8176435182453199,81.17,28,100,54410,11.177070379257202,11.170029640197754,0.007040739059448242,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,21,0.45710701775550844,0.8331077725850105,83.43,24,100,54410,12.374187469482422,12.367728471755981,0.00645899772644043,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,22,0.4721740467786789,0.8316768962915292,83.88,26,100,54410,11.18217396736145,11.175662755966187,0.006511211395263672,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,23,0.5428800522565842,0.8053455299454605,82.54,28,100,54410,14.018993377685547,14.011692523956299,0.007300853729248047,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,24,0.4899876847267151,0.8272011367061731,84.32,23,100,54410,8.322723150253296,8.315751552581787,0.006971597671508789,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,25,0.4083152138710022,0.860289506268239,86.12,29,100,54410,9.977312326431274,9.96988844871521,0.007423877716064453,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,26,0.43540328607559203,0.8446053216394456,84.38,26,100,54410,11.661181449890137,11.653625965118408,0.007555484771728516,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,27,0.4296529441595078,0.8463652072770144,84.71,27,100,54410,10.993197917938232,10.986666679382324,0.006531238555908203,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,28,0.3846804387807846,0.8652925902741678,86.64,30,100,54410,13.512448787689209,13.504163026809692,0.008285760879516602,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,29,0.4450447470188141,0.8477758290207718,85.24,25,100,54410,8.075164794921875,8.06862735748291,0.006537437438964844,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,30,0.5906237888813018,0.7975309878161768,81.25,28,100,54410,11.234984874725342,11.227534294128418,0.007450580596923828,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,31,0.5158077485561371,0.8231218178029692,82.72,25,100,54410,9.298760175704956,9.291938304901123,0.006821870803833008,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,32,0.40675256247520447,0.8555110945093626,85.38,25,100,54410,8.946158170700073,8.939521312713623,0.006636857986450195,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,33,0.42875025317668913,0.8503884212946259,84.74,27,100,54410,12.954952716827393,12.947498798370361,0.00745391845703125,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,34,0.40358086702823637,0.8558912784922311,85.86,29,100,54410,13.889240503311157,13.880589485168457,0.008651018142700195,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,35,0.4698830685377121,0.8329680323049471,84.28,27,100,54410,11.587997913360596,11.581098079681396,0.006899833679199219,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,36,0.52167167699337,0.816463315181918,83.3,26,100,54410,13.019565343856812,13.01281189918518,0.006753444671630859,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,37,0.4707092929363251,0.8325474360334061,84.45,22,100,54410,11.2361159324646,11.22998046875,0.006135463714599609,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,38,0.4174489660024643,0.853692215211114,85.85,25,100,54410,8.928842067718506,8.92223596572876,0.006606101989746094,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,39,0.3801053623199463,0.863772596712478,86.63,27,100,54410,11.78550124168396,11.777764081954956,0.007737159729003906,,122.966796875,3
