Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.1,0.9,0.999,12,0.722579787349701,0.7337054162736801,75.21,30,100,54410,4.34739351272583,4.335264205932617,0.01212930679321289,0.01151728630065918,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,13,0.6665695449829102,0.7436676098514861,76.55,29,100,54410,4.103032827377319,4.090090990066528,0.012941837310791016,0.0123291015625,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,14,0.5924211353302002,0.7740659581682825,79.09,22,100,54410,3.642761468887329,3.6332790851593018,0.009482383728027344,0.008866310119628906,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,15,0.6093338177204132,0.7814154315441033,79.55,28,100,54410,4.505574464797974,4.493787527084351,0.011786937713623047,0.011171579360961914,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,16,0.6845944654941559,0.7562900429086363,77.12,28,100,54410,5.1792192459106445,5.167381525039673,0.01183772087097168,0.011291027069091797,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,17,0.6705425321578979,0.7565274122874703,77.0,26,100,54410,4.722662925720215,4.71181583404541,0.010847091674804688,0.010265350341796875,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,18,0.5358165022850037,0.8056211031584279,81.16,21,100,54410,3.448882818222046,3.4405291080474854,0.008353710174560547,0.007761716842651367,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,19,0.48838163022994996,0.8259348950880965,82.48,28,100,54410,5.216674327850342,5.205848455429077,0.010825872421264648,0.010264396667480469,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,20,0.5329354478836059,0.8090908153612191,80.27,28,100,54410,4.047745227813721,4.035314321517944,0.012430906295776367,0.011781454086303711,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,21,0.5437251217842102,0.805504381154924,80.23,24,100,54410,4.217320442199707,4.206336975097656,0.010983467102050781,0.010329008102416992,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,22,0.5308960853099823,0.8085361687434629,80.75,26,100,54410,3.800407886505127,3.7901270389556885,0.010280847549438477,0.009665489196777344,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,23,0.5219138832092285,0.8071792499094779,80.92,28,100,54410,4.76072096824646,4.748116493225098,0.012604475021362305,0.011917829513549805,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,24,0.49918689270019534,0.8133371750614096,82.11,23,100,54410,2.8990421295166016,2.8893964290618896,0.009645700454711914,0.009099483489990234,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,25,0.46995214171409605,0.8224544505951566,83.24,29,100,54410,3.4369239807128906,3.4246034622192383,0.012320518493652344,0.011681556701660156,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,26,0.46963952016830446,0.8152600016104063,82.88,26,100,54410,4.112241506576538,4.100363254547119,0.011878252029418945,0.011215448379516602,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,27,0.48037207679748534,0.816259657776145,82.66,27,100,54410,3.91450834274292,3.903916358947754,0.010591983795166016,0.010053157806396484,122.98046875,42
FedHST,FashionMNIST,0.1,0.9,0.999,28,0.4729039788246155,0.8161953559511657,82.41,30,100,54410,4.503672361373901,4.492605447769165,0.011066913604736328,0.010464668273925781,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,29,0.4442856992006302,0.8344725994387187,83.79,25,100,54410,2.6602511405944824,2.648698568344116,0.011552572250366211,0.010914087295532227,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,30,0.4144032114267349,0.8495390467056311,85.02,28,100,54410,3.803161859512329,3.7906241416931152,0.012537717819213867,0.011916399002075195,122.98095703125,42
